2003 1 695431
2003 2 733383
2003 3 699819
2003 4 645713
2003 5 667113
2003 6 987408
2003 7 901908
2003 8 613867
2003 9 650764
2003 10 597807
2003 11 624739
2003 12 552018
2004 1 630389
2004 2 610103
2004 3 634629
2004 4 627053
2004 5 632549
2004 6 862728
2004 7 788557
2004 8 654616
2004 9 597802
2004 10 634896
2004 11 640045
2004 12 657832
2005 1 628017
2005 2 731657
2005 3 721733
2005 4 694984
2005 5 681699
2005 6 902827
2005 7 797928
2005 8 635640
2005 9 552295
2005 10 508161
2005 11 652890
2005 12 498838
2006 1 560935
2006 2 634380
2006 3 621861
2006 4 563405
2006 5 582838
2006 6 881897
2006 7 778662
2006 8 625214
2006 9 600480
2006 10 528019
2006 11 564727
2006 12 526272
2007 1 561473
2007 2 618733
2007 3 567521
2007 4 554621
2007 5 601696
2007 6 891656
2007 7 710239
2007 8 596907
2007 9 601184
2007 10 546004
2007 11 626733
2007 12 604166
2008 1 720591
2008 2 648252
2008 3 580248
2008 4 535039
2008 5 751733
2008 6 988680
2008 7 1012461
2008 8 701500
2008 9 690326
2008 10 745886
2008 11 765270
2008 12 694652
2009 1 777513
2009 2 855569
2009 3 801286
2009 4 764219
2009 5 887845
2009 6 1140294
2009 7 1088208
2009 8 959590
2009 9 897972
2009 10 865616
2009 11 894130
2009 12 843306
2010 1 907956
2010 2 850990
2010 3 875242
2010 4 803920
2010 5 819416
2010 6 1093705
2010 7 1035588
2010 8 881575
2010 9 783044
2010 10 806190
2010 11 759664
2010 12 732887
2011 1 810169
2011 2 734515
2011 3 723074
2011 4 712955
2011 5 719944
2011 6 1012211
2011 7 930052
2011 8 854967
2011 9 761827
2011 10 745746
2011 11 727886
2011 12 704505
2012 1 707578
2012 2 739021
2012 3 715657
2012 4 726151
2012 5 752767
2012 6 1032330
2012 7 968566
2012 8 880670
2012 9 765714
2012 10 759963
2012 11 734460
2012 12 666842
2013 1 748245
2013 2 757969
2013 3 670801
2013 4 662879
2013 5 757238
2013 6 1090524
2013 7 974496
2013 8 766863
2013 9 712462
2013 10 680540
2013 11 613428
2013 12 522040
2014 1 591100
2014 2 621685
2014 3 629982
2014 4 505464
2014 5 542388
2014 6 869489
2014 7 780979
2014 8 624821
2014 9 603475
2014 10 536653
2014 11 475031
2014 12 480960
2015 1 559028
2015 2 493236
2015 3 543018
2015 4 440738
2015 5 581488
2015 6 800859
2015 7 615202
2015 8 517034
2015 9 461072
2015 10 434046
2015 11 478411
2015 12 444062
2016 1 481689
2016 2 479077
2016 3 479472
2016 4 393689
2016 5 454861
2016 6 739598
2016 7 609206
2016 8 564901
2016 9 481824
2016 10 497980
2016 11 517961
2016 12 438962
2017 1 446285
2017 2 461425
2017 3 420160
2017 4 412714
2017 5 431480
2017 6 613870
2017 7 528294
2017 8 439598
2017 9 425925
2017 10 436658
2017 11 499713
2017 12 362942
2018 1 408412
2018 2 476118
2018 3 421154
2018 4 372556
2018 5 445759
2018 6 601551
2018 7 539615
2018 8 419066
2018 9 344197
2018 10 334072
2018 11 345041
2018 12 351488
2019 1 396194
2019 2 426944
2019 3 372175
2019 4 360800
2019 5 377329
2019 6 562376
2019 7 504016
2019 8 411071
2019 9 378423
2019 10 372088
2019 11 384926
2019 12 344461
2020 1 387979
2020 2 337596
2020 3 394397
2020 4 671813
2020 5 795226
2020 6 803067
2020 7 713258
2020 8 513101
2020 9 470303
2020 10 425467
2020 11 412663
2020 12 383609
2021 1 440812
2021 2 489045
2021 3 419914
2021 4 317876
2021 5 291485
2021 6 455472
2021 7 429340
2021 8 369728
2021 9 349502
2021 10 331266
2021 11 293482
