2003 1 3283951
2003 2 3343636
2003 3 3284686
2003 4 3100661
2003 5 3170417
2003 6 3483448
2003 7 3584340
2003 8 3662517
2003 9 3434273
2003 10 3244779
2003 11 3144472
2003 12 3031495
2004 1 3384689
2004 2 3240309
2004 3 3333219
2004 4 3012342
2004 5 2935164
2004 6 3378360
2004 7 3418458
2004 8 3258681
2004 9 3080502
2004 10 3005991
2004 11 2954483
2004 12 2801526
2005 1 3135683
2005 2 3119107
2005 3 2930083
2005 4 2869109
2005 5 2862608
2005 6 3148184
2005 7 3338710
2005 8 3078065
2005 9 3094834
2005 10 2929641
2005 11 2937880
2005 12 2706938
2006 1 2932525
2006 2 2845345
2006 3 2663327
2006 4 2667675
2006 5 2555985
2006 6 2841838
2006 7 3122830
2006 8 2929002
2006 9 2858040
2006 10 2539979
2006 11 2630226
2006 12 2423758
2007 1 2797408
2007 2 2567074
2007 3 2478309
2007 4 2443070
2007 5 2405684
2007 6 2724178
2007 7 3109645
2007 8 3007855
2007 9 2855387
2007 10 2728688
2007 11 2739326
2007 12 2757100
2008 1 2970354
2008 2 2850833
2008 3 2973546
2008 4 2723513
2008 5 3008277
2008 6 3322559
2008 7 3545949
2008 8 3978613
2008 9 3486030
2008 10 3620132
2008 11 3790919
2008 12 3837596
2009 1 4531372
2009 2 4632372
2009 3 4759928
2009 4 4639101
2009 5 4941887
2009 6 5425761
2009 7 5811009
2009 8 5739317
2009 9 5549116
2009 10 5404275
2009 11 5262118
2009 12 5187218
2010 1 5553053
2010 2 5481166
2010 3 5429944
2010 4 5355301
2010 5 5352446
2010 6 5483923
2010 7 5942053
2010 8 5921134
2010 9 5616069
2010 10 5486780
2010 11 5595311
2010 12 5189893
2011 1 5542266
2011 2 5451109
2011 3 5222661
2011 4 5129765
2011 5 5304837
2011 6 5647792
2011 7 5909380
2011 8 5870324
2011 9 5737241
2011 10 5371311
2011 11 5140357
2011 12 5069628
2012 1 5451079
2012 2 5336910
2012 3 4998497
2012 4 4820454
2012 5 4935506
2012 6 5321710
2012 7 5699578
2012 8 5479562
2012 9 4968449
2012 10 4960924
2012 11 4697661
2012 12 4827922
2013 1 5188722
2013 2 4891486
2013 3 4637330
2013 4 4299898
2013 5 4343494
2013 6 4918126
2013 7 4902408
2013 8 4692051
2013 9 4405101
2013 10 4402952
2013 11 4137398
2013 12 3959727
2014 1 4227674
2014 2 4174942
2014 3 4232398
2014 4 3648182
2014 5 3808693
2014 6 3843430
2014 7 4385537
2014 8 4266434
2014 9 3893380
2014 10 3800317
2014 11 3566879
2014 12 3261785
2015 1 3660058
2015 2 3468250
2015 3 3351988
2015 4 3205776
2015 5 3380828
2015 6 3433020
2015 7 3854027
2015 8 3585159
2015 9 3238968
2015 10 3208537
2015 11 3146844
2015 12 2923988
2016 1 3337591
2016 2 3213039
2016 3 3248265
2016 4 2982775
2016 5 2870101
2016 6 3288146
2016 7 3389467
2016 8 3513804
2016 9 3192666
2016 10 3064213
2016 11 2905691
2016 12 2810236
2017 1 3239637
2017 2 3072432
2017 3 2795252
2017 4 2706628
2017 5 2744960
2017 6 2989112
2017 7 3267172
2017 8 3210414
2017 9 2849468
2017 10 2570951
2017 11 2509427
2017 12 2461992
2018 1 2716693
2018 2 2761525
2018 3 2601932
2018 4 2306962
2018 5 2257927
2018 6 2802156
2018 7 3028338
2018 8 2901747
2018 9 2422440
2018 10 2412308
2018 11 2382681
2018 12 2345240
2019 1 2753904
2019 2 2546340
2019 3 2398614
2019 4 2055171
2019 5 2190612
2019 6 2582772
2019 7 2853274
2019 8 2772654
2019 9 2297005
2019 10 2307416
2019 11 2269052
2019 12 2195723
2020 1 2535393
2020 2 2355070
2020 3 2881148
2020 4 10666099
2020 5 9686185
2020 6 8289439
2020 7 8020346
2020 8 6417948
2020 9 5582125
2020 10 4618970
2020 11 4288628
2020 12 4309445
2021 1 4436636
2021 2 4282653
2021 3 4087947
2021 4 3772949
2021 5 3658998
2021 6 4191003
2021 7 4053017
2021 8 3824973
2021 9 3085056
2021 10 3022093
2021 11 2677137
